State,Buhari,Atiku,Nicholas,Sowore,Moghalu,Durotoye,Duke,Mailafia,SUM
Abia,85058.0,219698.0,1489.0,212.0,88.0,720.0,472.0,336.0,308073.0
Adamawa,378078.0,410266.0,3670.0,282.0,109.0,162.0,978.0,3989.0,797534.0
Akwa Ibom,175429.0,395832.0,1902.0,222.0,118.0,95.0,92.0,230.0,573920.0
Anambra,33298.0,524738.0,4374.0,124.0,4091.0,45.0,932.0,227.0,567829.0
Bauchi,798428.0,209313.0,2104.0,183.0,112.0,46.0,516.0,296.0,1010998.0
Bayelsa,118821.0,197933.0,1584.0,126.0,50.0,37.0,124.0,1078.0,319753.0
Benue,347668.0,356817.0,2793.0,309.0,557.0,201.0,4927.0,554.0,713826.0
Borno,836496.0,71788.0,,269.0,78.0,29.0,322.0,301.0,909283.0
Cross River,117302.0,295737.0,,242.0,217.0,88.0,1395.0,326.0,415307.0
Delta,221292.0,594068.0,,1626.0,497.0,320.0,1745.0,1075.0,820623.0
Ebonyi,90726.0,258573.0,,205.0,192.0,683.0,452.0,213.0,351044.0
Edo,267842.0,275691.0,,3106.0,531.0,273.0,184.0,850.0,548477.0
Ekiti,219231.0,154032.0,,400.0,68.0,88.0,48.0,406.0,374273.0
Enugu,54423.0,355553.0,,219.0,1379.0,141.0,130.0,348.0,412193.0
Gombe,402961.0,138484.0,,165.0,39.0,78.0,248.0,248.0,542223.0
Imo,140463.0,334923.0,,467.0,676.0,119.0,772.0,541.0,477961.0
Jigawa,794738.0,289895.0,,226.0,67.0,66.0,5011.0,261.0,1090264.0
Kaduna,993445.0,649612.0,,243.0,196.0,261.0,1737.0,558.0,1646052.0
Kano,1464768.0,391593.0,,416.0,200.0,114.0,635.0,591.0,1858317.0
Katsina,1232133.0,308056.0,,186.0,61.0,82.0,150.0,237.0,1540905.0
Kebbi,581552.0,154282.0,,276.0,53.0,99.0,2376.0,285.0,738923.0
Kogi,285894.0,218207.0,,250.0,87.0,89.0,2226.0,4369.0,511122.0
Kwara,308984.0,138184.0,,401.0,140.0,422.0,212.0,456.0,448799.0
Lagos,580825.0,448015.0,,8910.0,5733.0,6946.0,770.0,2915.0,1054114.0
Nassarawa,289903.0,283847.0,,75.0,44.0,45.0,359.0,339.0,574612.0
Niger,612371.0,218052.0,,324.0,113.0,145.0,239.0,588.0,831832.0
Ogun,281762.0,194655.0,,3196.0,553.0,1509.0,1374.0,25283.0,508332.0
Ondo,241769.0,275901.0,,4414.0,1224.0,311.0,1618.0,6296.0,531533.0
Osun,347634.0,337377.0,,1022.0,189.0,268.0,259.0,1525.0,688274.0
Oyo,365229.0,366690.0,,4014.0,1608.0,1896.0,766.0,40830.0,781033.0
Plateau,468555.0,548665.0,,268.0,442.0,796.0,599.0,590.0,1019915.0
Rivers,150710.0,473971.0,,372.0,415.0,365.0,1244.0,597.0,627674.0
Sokoto,490333.0,361604.0,,181.0,184.0,84.0,301.0,331.0,853018.0
Taraba,324906.0,374743.0,,116.0,80.0,35.0,862.0,211.0,700953.0
Yobe,497914.0,50763.0,,137.0,36.0,37.0,180.0,162.0,549229.0
Zamfara,438682.0,125423.0,,186.0,44.0,24.0,81.0,186.0,564626.0
FCT,152224.0,259997.0,,583.0,1083.0,652.0,410.0,246.0,415195.0
Total,15191847.0,11262978.0,110196.0,33953.0,21886.0,16779.0,34746.0,97874.0,26770259.0
