STATE,LAT,LON
Abia ,5.532003041,7.486002487
Adamawa ,10.2703408,13.2700321
Akwa Ibom ,5.007996056,7.849998524
Anambra ,6.210433572,7.06999711
Bauchi ,11.68040977,10.19001339
Benue ,7.190399596,8.129984089
Borno ,10.62042279,12.18999467
Cross River ,4.960406513,8.330023558
Delta ,5.890427265,5.680004434
Edo ,6.340477314,5.620008096
Ekiti ,7.630372741,5.219980834
Enugu ,6.867034321,7.383362995
Federal Capital Territory ,9.083333149,7.533328002
Gombe ,10.29044293,11.16995357
Imo ,5.492997053,7.026003588
Jigawa ,11.7991891,9.350334607
Kaduna ,11.0799813,7.710009724
Kano ,11.99997683,8.5200378
Katsina ,11.5203937,7.320007689
Kebbi ,12.45041445,4.199939737
Kogi ,7.800388203,6.739939737
Kwara ,8.490010192,4.549995889
Lagos ,6.443261653,3.391531071
Nassarawa ,8.490423603,8.5200378
Niger ,10.4003587,5.469939737
Ogun ,7.160427265,3.350017455
Ondo ,7.250395934,5.199982054
Osun ,7.629959329,4.179992634
Oyo ,7.970016092,3.590002806
Plateau ,9.929973978,8.890041055
Rivers ,4.810002257,7.010000772
Sokoto ,13.06001548,5.240031289
Taraba ,7.870409769,9.780012572
Yobe ,11.74899608,11.96600457
Zamfara ,12.1704057,6.659996296
