S/N,NAME,GENDER,PARTY,VOTES,ELECTED
1,OSITELU ISAAC BABATUNDE,M,A,"19,219",
2,ABDULRASHID HASSAN BABA,M,AA,"14,380",
3,OMOYELE SOWORE,M,AAC,"33,953",
4,CHIKE UKAEGBU,M,AAP,"8,902",
5,SHIPI MOSES GODIA,M,ABP,"4,523",
6,NWOKEAFOR IKECHUKWU NDUBUISI,M,ACD,"11,325",
7,EZEKWESILI OBIAGELI KATRYN,F,ACPN,"7,223",
8,MAILAFIA OBADIAH,M,ADC,"97,874",
9,YABAGI SANI YUSUF,M,ADP,"54,930",
10,NWACHUKWU CHUKS NWABUIKWU,M,AGA,"4,689",
11,CHIEF UMENWA GODWIN,M,AGAP,"3,071",
12,OBAJE YUSUFU AMEH,M,ANDP,"3,104",
13,DUROTOYE ADETOKUNBO OLUFELA,M,ANN,"16,779",
14,SHITTU MOSHOOD ASIWAJU,M,ANP,"3,586",
15,FASUA TOPE KOLADE,M,ANRP,"4,340",
16,IBRAHIM ALIYU HASSAN,M,APA,"36,866",
17,BUHARI MUHAMMADU,M,APC,"15,191,847",ELECTED
18,SHITU MOHAMMED KABIR,M,APDA,"26,558",
19,GBOR JOHN WILSON TERWASE,M,APGA,"66,851",
20,YUSUF MAMMAN DANTALLE,M,APM,"26,039",
21,OBINNA UCHECHUKWU IKEAGWUONU,M,APP,"3,585",
22,DARA JOHN,M,ASD,"2,146",
23,ANGELA JOHNSON,F,AUN,"1,092",
24,DAVID ESOSA IZE-IYAMU,M,BNPP,"1,649",
25,ABAH LEWIS ELAIGWU,M,CAP,"1,111",
26,OJINIKA GEFF CHIZEE,M,CC,"2,391",
27,ETIM EMMANUEL ISHIE,M,CNP,"1,874",
28,UKONGA FRANK,M,DA,"2,769",
29,AWOSOLA WILLIAMS OLUSOLA,M,DPC,"5,242",
30,OSAKWE FELIX JOHNSON,M,DPP,"14,483",
31,OKOTIE CHRISTOPHER OGHENEBRORIE,M,FRESH,"4,554",
32,REV. (DR) ONWUBUYA,M,FJP,"4,174",
33,AKHIMIEN DAVIDSON ISIBOR,M,GDPN,"41,852",
34,EKE SAMUEL CHUKWUMA,M,GPN,"4,924",
35,ALBERT OWURU AMBROSE,M,HDP,"1,663",
36,MADU NNAMDI EDOZIE,M,ID,"1,845",
37,CHUKWU-EGUZOLUGO SUNDAY CHIKENDU,M,JMPP,"1,853",
38,FAGBENRO-BYRON SAMUEL ADESINA,M,KP,"1,911",
39,KRIZ DAVID,M,LM,"1,438",
40,MUHAMMED USMAN ZAKI,M,LP,"5,074",
41,ADESANYA-DAVIES MERCY OLUFUNMILAYO,F,MAJA,"2,651",
42,BASHAYI ISA DANSARKI,M,MMN,"14,540",
43,SANTURAKI HAMISU,M,MPN,"2,752",
44,RABIA YASAI HASSAN CENGIZ,F,NAC,"2,279",
45,ADEMOLA BABATUNDE ABIDEMI,M,NCMP,"1,378",
46,SALISU YUNUSA TANKO,M,NCP,"3,799",
47,A. EDOSOMWAN JOHNSON,M,NDCP,"1,192",
48,AKPUA ROBINSON,M,NDLP,"1,588",
49,COM. ISHAKA PAUL OFEMILE,M,NEPP,"1,524",
50,DR ASUKWO MENDIE ARCHIBONG,M,NFD,"4,096",
51,ATUEJIDE EUNICE UCHE JULIAN,F,NIP,"2,248",
52,IKE KEKE,M,NNPP,"6,111",
53,MAINA MAIMUNA KYARI,F,NPC,"10,081",
54,IBRAHIM USMAN ALHAJI,M,NRM,"6,229",
55,MOSES AYIBIOWU,M,NUP,"5,323",
56,FELIX NICOLAS,M,PCP,"110,196",
57,ABUBAKAR ATIKU,M,PDP,"11,262,978",
58,AMEH PETER OJONUGWA,M,PPA,"21,822",
59,VICTOR OKHAI,M,PPC,"8,979",
60,MAJOR HAMZA AL MUSTAFA,M,PPN,"4,622",
61,GBENGA OLAWEPO-HASHIM,M,PT,"2,613",
62,ISRAEL NONYEREM DAVIDSON DR.,M,RAP,"2,972",
63,OSUALA CHUKWUDI JOHN KENNEDY,M,RBNP,"1,792",
64,NSEHE NSEOBONG,M,RP,"2,388",
65,DONALD DUKE,M,SDP,"34,746",
66,DA-SILVA THOMAS AYO,M,SNC,"28,680",
67,AHMED BUHARI,M,SNP,"3,941",
68,BALOGUN ISIAKA ISHOLA,M,UDP,"3,170",
69,MARK EMMANUEL AUDU,M,UP,"1,561",
70,INWA AHMED SAKIL,M,UPN,"1,631",
71,NWANGWU UCHENNA PETER,M,WTPN,732,
72,ALI SOYODE M,M,YES,"2,394",
73,MOGHALU KINGSLEY BOSAH CHIEDU,M,YPP,"21,886",
